origin_month,n_hours,MAE,RMSE,MAPE
2025-07,744,1073.329137523843,1306.2424337501932,7.7497710021121895
2025-08,744,875.150099202758,1127.4986939999465,6.526297886458327
2025-09,720,2191.454753466733,2761.1421268561917,23.251900919535863
2025-10,744,692.1406344735783,874.5122589748677,9.01588239171015
2025-11,720,418.4707675799331,571.3715642079496,5.058952697998248
2025-12,744,336.539860952235,437.251830439853,3.816698919542453
